/italy_serie-a/2016-2017/2017-01-08 - 20-00 AC Milan 1 - 0 Cagliari/video.ini,1hMXdEg9Rj2A0HEMBQ7zHd2JLhO7_hoxc,
/italy_serie-a/2016-2017/2017-01-08 - 20-00 AC Milan 1 - 0 Cagliari/2_HQ.mkv,1bZcfAeovfHXd7CJkeF0rxtNIwd4Un38Q,
/italy_serie-a/2016-2017/2017-01-08 - 20-00 AC Milan 1 - 0 Cagliari/1_HQ.mkv,1NhYAdz2RQOoufcUwTiXo8OAeZKhU6lEQ,
/italy_serie-a/2016-2017/2017-01-15 - 17-00 Napoli 3 - 1 Pescara/video.ini,1EMsYg9pu7pEGp1ATo-8PBJIj2knqtu5x,
/italy_serie-a/2016-2017/2017-01-15 - 17-00 Napoli 3 - 1 Pescara/2_HQ.mkv,1bfJsQU1e0zdRNP2bHOzMfGDAhIt-gYEo,
/italy_serie-a/2016-2017/2017-01-15 - 17-00 Napoli 3 - 1 Pescara/1_HQ.mkv,1ggjZTeksxjmVXffAC5kL4o_0diowcOZA,
/italy_serie-a/2016-2017/2017-01-08 - 17-00 Genoa 0 - 1 AS Roma/video.ini,1DFOPXTi5PPl8N94MsBFIHJt50xT41KJ8,
/italy_serie-a/2016-2017/2017-01-08 - 17-00 Genoa 0 - 1 AS Roma/1_HQ.mkv,1OjKy42OUMFJv1EJk_YMT99ntJerK3GUX,
/italy_serie-a/2016-2017/2017-01-08 - 17-00 Genoa 0 - 1 AS Roma/2_HQ.mkv,1aovNrSoqdROgri7kI7496nsUqEUXmTal,
/italy_serie-a/2016-2017/2016-12-22 - 22-45 AS Roma 3 - 1 Chievo/video.ini,1ZRIJmGNVKjqaBfbybNXesdBQZMWVY6cl,
/italy_serie-a/2016-2017/2016-12-22 - 22-45 AS Roma 3 - 1 Chievo/2_HQ.mkv,19XqHFCpELsllV9FT9ftq517gintG1BKS,
/italy_serie-a/2016-2017/2016-12-22 - 22-45 AS Roma 3 - 1 Chievo/1_HQ.mkv,1WcfYHgcWBlczKciB3xqoM3X-4GwX46z3,
/italy_serie-a/2016-2017/2016-12-17 - 20-00 AC Milan 0 - 0 Atalanta/video.ini,1FU0wg6cBTNRkUFe-vIcgANIqTSQCqh6A,
/italy_serie-a/2016-2017/2016-12-17 - 20-00 AC Milan 0 - 0 Atalanta/2_HQ.mkv,1VpTbmvtgf_vopdgVzx3qqJTl0WJLPVkh,
/italy_serie-a/2016-2017/2016-12-17 - 20-00 AC Milan 0 - 0 Atalanta/1_HQ.mkv,1IiYJ0JvAwdHAeUfD9LNXIlE_l0c3aL-C,
/italy_serie-a/2016-2017/2017-01-15 - 17-00 Udinese 0 - 1 AS Roma/video.ini,1Ossi2CYnz-W6hCej7xRsSRtDeOVuCkEq,
